forecast_date,target,target_end_date,location,type,quantile,value
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.01,1867.07585
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.025,2067.02425
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.05,2245.76758
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.1,2455.07016
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.15,2597.20509
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.2,2710.44903
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.25,2807.72665
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.3,2895.15101
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.35,2976.20112
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.4,3053.13279
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.45,3127.57833
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.5,3200.84968
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.55,3274.12102
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.6,3348.56656
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.65,3425.49823
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.7,3506.54834
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.75,3593.9727
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.8,3691.25033
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.85,3804.49426
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.9,3946.62919
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.95,4155.93177
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.975,4334.67511
2022-11-27,1 wk ahead inc death,2022-12-03,US,quantile,0.99,4534.6235
2022-11-27,1 wk ahead inc death,2022-12-03,US,point,NA,3209.663
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.01,1626.82245
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.025,1922.48256
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.05,2186.78712
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.1,2496.2791
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.15,2706.45146
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.2,2873.90325
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.25,3017.74592
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.3,3147.01876
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.35,3266.8661
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.4,3380.62358
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.45,3490.70487
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.5,3599.0499
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.55,3707.39492
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.6,3817.47621
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.65,3931.23369
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.7,4051.08103
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.75,4180.35387
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.8,4324.19654
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.85,4491.64833
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.9,4701.82069
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.95,5011.31267
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.975,5275.61723
2022-11-27,2 wk ahead inc death,2022-12-10,US,quantile,0.99,5571.27734
2022-11-27,2 wk ahead inc death,2022-12-10,US,point,NA,3612.082
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.01,1517.50907
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.025,1891.48315
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.05,2225.79628
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.1,2617.266
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.15,2883.10849
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.2,3094.91464
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.25,3276.85813
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.3,3440.37255
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.35,3591.96487
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.4,3735.85425
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.45,3875.09369
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.5,4012.13697
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.55,4149.18026
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.6,4288.4197
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.65,4432.30908
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.7,4583.90139
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.75,4747.41581
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.8,4929.35931
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.85,5141.16545
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.9,5407.00794
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.95,5798.47766
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.975,6132.79079
2022-11-27,3 wk ahead inc death,2022-12-17,US,quantile,0.99,6506.76488
2022-11-27,3 wk ahead inc death,2022-12-17,US,point,NA,4028.621
2022-11-27,4 wk ahead inc death,2022-12-24,US,quantile,0.01,1455.83269
